object_id,I1,I2,I3
x0151,A_s0151,B_s0151,C_s0151
x0152,A_s0152,B_s0152,C_s0152
x0153,A_s0153,B_s0153,C_s0153
x0154,A_s0154,B_s0154,C_s0154
x0155,A_s0155,B_s0155,C_s0155
x0156,A_s0156,B_s0156,C_s0156
x0157,A_s0157,B_s0157,C_s0157
x0158,A_s0158,B_s0158,C_s0158
x0159,A_s0159,B_s0159,C_s0159
x0160,A_s0160,B_s0160,C_s0160
x0161,A_s0161,B_s0161,C_s0161
x0162,A_s0162,B_s0162,C_s0162
x0163,A_s0163,B_s0163,C_s0163
x0164,A_s0164,B_s0164,C_s0164
x0165,A_s0165,B_s0165,C_s0165
x0166,A_s0166,B_s0166,C_s0166
x0167,A_s0167,B_s0167,C_s0167
x0168,A_s0168,B_s0168,C_s0168
x0169,A_s0169,B_s0169,C_s0169
x0170,A_s0170,B_s0170,C_s0170
x0171,A_s0171,B_s0171,C_s0171
x0172,A_s0172,B_s0172,C_s0172
x0173,A_s0173,B_s0173,C_s0173
x0174,A_s0174,B_s0174,C_s0174
x0175,A_s0175,B_s0175,C_s0175
x0176,A_s0176,B_s0176,C_s0176
x0177,A_s0177,B_s0177,C_s0177
x0178,A_s0178,B_s0178,C_s0178
x0179,A_s0179,B_s0179,C_s0179
x0180,A_s0180,B_s0180,C_s0180
x0181,A_s0181,B_s0181,C_s0181
x0182,A_s0182,B_s0182,C_s0182
x0183,A_s0183,B_s0183,C_s0183
x0184,A_s0184,B_s0184,C_s0184
x0185,A_s0185,B_s0185,C_s0185
x0186,A_s0186,B_s0186,C_s0186
x0187,A_s0187,B_s0187,C_s0187
x0188,A_s0188,B_s0188,C_s0188
x0189,A_s0189,B_s0189,C_s0189
x0190,A_s0190,B_s0190,C_s0190
x0191,A_s0191,B_s0191,C_s0191
x0192,A_s0192,B_s0192,C_s0192
x0193,A_s0193,B_s0193,C_s0193
x0194,A_s0194,B_s0194,C_s0194
x0195,A_s0195,B_s0195,C_s0195
x0196,A_s0196,B_s0196,C_s0196
x0197,A_s0197,B_s0197,C_s0197
x0198,A_s0198,B_s0198,C_s0198
x0199,A_s0199,B_s0199,C_s0199
x0200,A_s0200,B_s0200,C_s0200
x0201,A_s0201,B_s0201,C_s0201
x0202,A_s0202,B_s0202,C_s0202
x0203,A_s0203,B_s0203,C_s0203
x0204,A_s0204,B_s0204,C_s0204
x0205,A_s0205,B_s0205,C_s0205
x0206,A_s0206,B_s0206,C_s0206
x0207,A_s0207,B_s0207,C_s0207
x0208,A_s0208,B_s0208,C_s0208
x0209,A_s0209,B_s0209,C_s0209
x0210,A_s0210,B_s0210,C_s0210
x0211,A_s0211,B_s0211,C_s0211
x0212,A_s0212,B_s0212,C_s0212
x0213,A_s0213,B_s0213,C_s0213
x0214,A_s0214,B_s0214,C_s0214
x0215,A_s0215,B_s0215,C_s0215
x0216,A_s0216,B_s0216,C_s0216
x0217,A_s0217,B_s0217,C_s0217
x0218,A_s0218,B_s0218,C_s0218
x0219,A_s0219,B_s0219,C_s0219
x0220,A_s0220,B_s0220,C_s0220
x0221,A_s0221,B_s0221,C_s0221
x0222,A_s0222,B_s0222,C_s0222
x0223,A_s0223,B_s0223,C_s0223
x0224,A_s0224,B_s0224,C_s0224
x0225,A_s0225,B_s0225,C_s0225
x0226,A_s0226,B_s0226,C_s0226
x0227,A_s0227,B_s0227,C_s0227
x0228,A_s0228,B_s0228,C_s0228
x0229,A_s0229,B_s0229,C_s0229
x0230,A_s0230,B_s0230,C_s0230
x0231,A_s0231,B_s0231,C_s0231
x0232,A_s0232,B_s0232,C_s0232
x0233,A_s0233,B_s0233,C_s0233
x0234,A_s0234,B_s0234,C_s0234
x0235,A_s0235,B_s0235,C_s0235
x0236,A_s0236,B_s0236,C_s0236
x0237,A_s0237,B_s0237,C_s0237
x0238,A_s0238,B_s0238,C_s0238
x0239,A_s0239,B_s0239,C_s0239
x0240,A_s0240,B_s0240,C_s0240
x0241,A_s0241,B_s0241,C_s0241
x0242,A_s0242,B_s0242,C_s0242
x0243,A_s0243,B_s0243,C_s0243
x0244,A_s0244,B_s0244,C_s0244
x0245,A_s0245,B_s0245,C_s0245
x0246,A_s0246,B_s0246,C_s0246
x0247,A_s0247,B_s0247,C_s0247
x0248,A_s0248,B_s0248,C_s0248
x0249,A_s0249,B_s0249,C_s0249
x0250,A_s0250,B_s0250,C_s0250
x0251,A_s0251,B_s0251,C_s0251
x0252,A_s0252,B_s0252,C_s0252
x0253,A_s0253,B_s0253,C_s0253
x0254,A_s0254,B_s0254,C_s0254
x0255,A_s0255,B_s0255,C_s0255
x0256,A_s0256,B_s0256,C_s0256
x0257,A_s0257,B_s0257,C_s0257
x0258,A_s0258,B_s0258,C_s0258
x0259,A_s0259,B_s0259,C_s0259
x0260,A_s0260,B_s0260,C_s0260
x0261,A_s0261,B_s0261,C_s0261
x0262,A_s0262,B_s0262,C_s0262
x0263,A_s0263,B_s0263,C_s0263
x0264,A_s0264,B_s0264,C_s0264
x0265,A_s0265,B_s0265,C_s0265
x0266,A_s0266,B_s0266,C_s0266
x0267,A_s0267,B_s0267,C_s0267
x0268,A_s0268,B_s0268,C_s0268
x0269,A_s0269,B_s0269,C_s0269
x0270,A_s0270,B_s0270,C_s0270
x0271,A_s0271,B_s0271,C_s0271
x0272,A_s0272,B_s0272,C_s0272
x0273,A_s0273,B_s0273,C_s0273
x0274,A_s0274,B_s0274,C_s0274
x0275,A_s0275,B_s0275,C_s0275
x0276,A_s0276,B_s0276,C_s0276
x0277,A_s0277,B_s0277,C_s0277
x0278,A_s0278,B_s0278,C_s0278
x0279,A_s0279,B_s0279,C_s0279
x0280,A_s0280,B_s0280,C_s0280
x0281,A_s0281,B_s0281,C_s0281
x0282,A_s0282,B_s0282,C_s0282
x0283,A_s0283,B_s0283,C_s0283
x0284,A_s0284,B_s0284,C_s0284
x0285,A_s0285,B_s0285,C_s0285
x0286,A_s0286,B_s0286,C_s0286
x0287,A_s0287,B_s0287,C_s0287
x0288,A_s0288,B_s0288,C_s0288
x0289,A_s0289,B_s0289,C_s0289
x0290,A_s0290,B_s0290,C_s0290
x0291,A_s0291,B_s0291,C_s0291
x0292,A_s0292,B_s0292,C_s0292
x0293,A_s0293,B_s0293,C_s0293
x0294,A_s0294,B_s0294,C_s0294
x0295,A_s0295,B_s0295,C_s0295
x0296,A_s0296,B_s0296,C_s0296
x0297,A_s0297,B_s0297,C_s0297
x0298,A_s0298,B_s0298,C_s0298
x0299,A_s0299,B_s0299,C_s0299
x0300,A_s0300,B_s0300,C_s0300
x0301,A_s0301,B_s0301,C_s0301
x0302,A_s0302,B_s0302,C_s0302
x0303,A_s0303,B_s0303,C_s0303
x0304,A_s0304,B_s0304,C_s0304
x0305,A_s0305,B_s0305,C_s0305
x0306,A_s0306,B_s0306,C_s0306
x0307,A_s0307,B_s0307,C_s0307
x0308,A_s0308,B_s0308,C_s0308
x0309,A_s0309,B_s0309,C_s0309
x0310,A_s0310,B_s0310,C_s0310
x0311,A_s0311,B_s0311,C_s0311
x0312,A_s0312,B_s0312,C_s0312
x0313,A_s0313,B_s0313,C_s0313
x0314,A_s0314,B_s0314,C_s0314
x0315,A_s0315,B_s0315,C_s0315
x0316,A_s0316,B_s0316,C_s0316
x0317,A_s0317,B_s0317,C_s0317
x0318,A_s0318,B_s0318,C_s0318
x0319,A_s0319,B_s0319,C_s0319
x0320,A_s0320,B_s0320,C_s0320
x0321,A_s0321,B_s0321,C_s0321
x0322,A_s0322,B_s0322,C_s0322
x0323,A_s0323,B_s0323,C_s0323
x0324,A_s0324,B_s0324,C_s0324
x0325,A_s0325,B_s0325,C_s0325
x0326,A_s0326,B_s0326,C_s0326
x0327,A_s0327,B_s0327,C_s0327
x0328,A_s0328,B_s0328,C_s0328
x0329,A_s0329,B_s0329,C_s0329
x0330,A_s0330,B_s0330,C_s0330
x0331,A_s0331,B_s0331,C_s0331
x0332,A_s0332,B_s0332,C_s0332
x0333,A_s0333,B_s0333,C_s0333
x0334,A_s0334,B_s0334,C_s0334
x0335,A_s0335,B_s0335,C_s0335
x0336,A_s0336,B_s0336,C_s0336
x0337,A_s0337,B_s0337,C_s0337
x0338,A_s0338,B_s0338,C_s0338
x0339,A_s0339,B_s0339,C_s0339
x0340,A_s0340,B_s0340,C_s0340
x0341,A_s0341,B_s0341,C_s0341
x0342,A_s0342,B_s0342,C_s0342
x0343,A_s0343,B_s0343,C_s0343
x0344,A_s0344,B_s0344,C_s0344
x0345,A_s0345,B_s0345,C_s0345
x0346,A_s0346,B_s0346,C_s0346
x0347,A_s0347,B_s0347,C_s0347
x0348,A_s0348,B_s0348,C_s0348
x0349,A_s0349,B_s0349,C_s0349
x0350,A_s0350,B_s0350,C_s0350
x0351,A_s0351,B_s0351,C_s0351
x0352,A_s0352,B_s0352,C_s0352
x0353,A_s0353,B_s0353,C_s0353
x0354,A_s0354,B_s0354,C_s0354
x0355,A_s0355,B_s0355,C_s0355
x0356,A_s0356,B_s0356,C_s0356
x0357,A_s0357,B_s0357,C_s0357
x0358,A_s0358,B_s0358,C_s0358
x0359,A_s0359,B_s0359,C_s0359
x0360,A_s0360,B_s0360,C_s0360
x0361,A_s0361,B_s0361,C_s0361
x0362,A_s0362,B_s0362,C_s0362
x0363,A_s0363,B_s0363,C_s0363
x0364,A_s0364,B_s0364,C_s0364
x0365,A_s0365,B_s0365,C_s0365
x0366,A_s0366,B_s0366,C_s0366
x0367,A_s0367,B_s0367,C_s0367
x0368,A_s0368,B_s0368,C_s0368
x0369,A_s0369,B_s0369,C_s0369
x0370,A_s0370,B_s0370,C_s0370
x0371,A_s0371,B_s0371,C_s0371
x0372,A_s0372,B_s0372,C_s0372
x0373,A_s0373,B_s0373,C_s0373
x0374,A_s0374,B_s0374,C_s0374
x0375,A_s0375,B_s0375,C_s0375
x0376,A_s0376,B_s0376,C_s0376
x0377,A_s0377,B_s0377,C_s0377
x0378,A_s0378,B_s0378,C_s0378
x0379,A_s0379,B_s0379,C_s0379
x0380,A_s0380,B_s0380,C_s0380
x0381,A_s0381,B_s0381,C_s0381
x0382,A_s0382,B_s0382,C_s0382
x0383,A_s0383,B_s0383,C_s0383
x0384,A_s0384,B_s0384,C_s0384
x0385,A_s0385,B_s0385,C_s0385
x0386,A_s0386,B_s0386,C_s0386
x0387,A_s0387,B_s0387,C_s0387
x0388,A_s0388,B_s0388,C_s0388
x0389,A_s0389,B_s0389,C_s0389
x0390,A_s0390,B_s0390,C_s0390
x0391,A_s0391,B_s0391,C_s0391
x0392,A_s0392,B_s0392,C_s0392
x0393,A_s0393,B_s0393,C_s0393
x0394,A_s0394,B_s0394,C_s0394
x0395,A_s0395,B_s0395,C_s0395
x0396,A_s0396,B_s0396,C_s0396
x0397,A_s0397,B_s0397,C_s0397
x0398,A_s0398,B_s0398,C_s0398
x0399,A_s0399,B_s0399,C_s0399
x0400,A_s0400,B_s0400,C_s0400
x0401,A_s0401,B_s0401,C_s0401
x0402,A_s0402,B_s0402,C_s0402
x0403,A_s0403,B_s0403,C_s0403
x0404,A_s0404,B_s0404,C_s0404
x0405,A_s0405,B_s0405,C_s0405
x0406,A_s0406,B_s0406,C_s0406
x0407,A_s0407,B_s0407,C_s0407
x0408,A_s0408,B_s0408,C_s0408
x0409,A_s0409,B_s0409,C_s0409
x0410,A_s0410,B_s0410,C_s0410
x0411,A_s0411,B_s0411,C_s0411
x0412,A_s0412,B_s0412,C_s0412
x0413,A_s0413,B_s0413,C_s0413
x0414,A_s0414,B_s0414,C_s0414
x0415,A_s0415,B_s0415,C_s0415
x0416,A_s0416,B_s0416,C_s0416
x0417,A_s0417,B_s0417,C_s0417
x0418,A_s0418,B_s0418,C_s0418
x0419,A_s0419,B_s0419,C_s0419
x0420,A_s0420,B_s0420,C_s0420
x0421,A_s0421,B_s0421,C_s0421
x0422,A_s0422,B_s0422,C_s0422
x0423,A_s0423,B_s0423,C_s0423
x0424,A_s0424,B_s0424,C_s0424
x0425,A_s0425,B_s0425,C_s0425
x0426,A_s0426,B_s0426,C_s0426
x0427,A_s0427,B_s0427,C_s0427
x0428,A_s0428,B_s0428,C_s0428
x0429,A_s0429,B_s0429,C_s0429
x0430,A_s0430,B_s0430,C_s0430
x0431,A_s0431,B_s0431,C_s0431
x0432,A_s0432,B_s0432,C_s0432
x0433,A_s0433,B_s0433,C_s0433
x0434,A_s0434,B_s0434,C_s0434
x0435,A_s0435,B_s0435,C_s0435
x0436,A_s0436,B_s0436,C_s0436
x0437,A_s0437,B_s0437,C_s0437
x0438,A_s0438,B_s0438,C_s0438
x0439,A_s0439,B_s0439,C_s0439
x0440,A_s0440,B_s0440,C_s0440
x0441,A_s0441,B_s0441,C_s0441
x0442,A_s0442,B_s0442,C_s0442
x0443,A_s0443,B_s0443,C_s0443
x0444,A_s0444,B_s0444,C_s0444
x0445,A_s0445,B_s0445,C_s0445
x0446,A_s0446,B_s0446,C_s0446
x0447,A_s0447,B_s0447,C_s0447
x0448,A_s0448,B_s0448,C_s0448
x0449,A_s0449,B_s0449,C_s0449
x0450,A_s0450,B_s0450,C_s0450
x0451,A_s0451,B_s0451,C_s0451
x0452,A_s0452,B_s0452,C_s0452
x0453,A_s0453,B_s0453,C_s0453
x0454,A_s0454,B_s0454,C_s0454
x0455,A_s0455,B_s0455,C_s0455
x0456,A_s0456,B_s0456,C_s0456
x0457,A_s0457,B_s0457,C_s0457
x0458,A_s0458,B_s0458,C_s0458
x0459,A_s0459,B_s0459,C_s0459
x0460,A_s0460,B_s0460,C_s0460
x0461,A_s0461,B_s0461,C_s0461
x0462,A_s0462,B_s0462,C_s0462
x0463,A_s0463,B_s0463,C_s0463
x0464,A_s0464,B_s0464,C_s0464
x0465,A_s0465,B_s0465,C_s0465
x0466,A_s0466,B_s0466,C_s0466
x0467,A_s0467,B_s0467,C_s0467
x0468,A_s0468,B_s0468,C_s0468
x0469,A_s0469,B_s0469,C_s0469
x0470,A_s0470,B_s0470,C_s0470
x0471,A_s0471,B_s0471,C_s0471
x0472,A_s0472,B_s0472,C_s0472
x0473,A_s0473,B_s0473,C_s0473
x0474,A_s0474,B_s0474,C_s0474
x0475,A_s0475,B_s0475,C_s0475
x0476,A_s0476,B_s0476,C_s0476
x0477,A_s0477,B_s0477,C_s0477
x0478,A_s0478,B_s0478,C_s0478
x0479,A_s0479,B_s0479,C_s0479
x0480,A_s0480,B_s0480,C_s0480
x0481,A_s0481,B_s0481,C_s0481
x0482,A_s0482,B_s0482,C_s0482
x0483,A_s0483,B_s0483,C_s0483
x0484,A_s0484,B_s0484,C_s0484
x0485,A_s0485,B_s0485,C_s0485
x0486,A_s0486,B_s0486,C_s0486
x0487,A_s0487,B_s0487,C_s0487
x0488,A_s0488,B_s0488,C_s0488
x0489,A_s0489,B_s0489,C_s0489
x0490,A_s0490,B_s0490,C_s0490
x0491,A_s0491,B_s0491,C_s0491
x0492,A_s0492,B_s0492,C_s0492
x0493,A_s0493,B_s0493,C_s0493
x0494,A_s0494,B_s0494,C_s0494
x0495,A_s0495,B_s0495,C_s0495
x0496,A_s0496,B_s0496,C_s0496
x0497,A_s0497,B_s0497,C_s0497
x0498,A_s0498,B_s0498,C_s0498
x0499,A_s0499,B_s0499,C_s0499
x0500,A_s0500,B_s0500,C_s0500
x0501,A_s0501,B_s0501,C_s0501
x0502,A_s0502,B_s0502,C_s0502
x0503,A_s0503,B_s0503,C_s0503
x0504,A_s0504,B_s0504,C_s0504
x0505,A_s0505,B_s0505,C_s0505
x0506,A_s0506,B_s0506,C_s0506
x0507,A_s0507,B_s0507,C_s0507
x0508,A_s0508,B_s0508,C_s0508
x0509,A_s0509,B_s0509,C_s0509
x0510,A_s0510,B_s0510,C_s0510
x0511,A_s0511,B_s0511,C_s0511
x0512,A_s0512,B_s0512,C_s0512
x0513,A_s0513,B_s0513,C_s0513
x0514,A_s0514,B_s0514,C_s0514
x0515,A_s0515,B_s0515,C_s0515
x0516,A_s0516,B_s0516,C_s0516
x0517,A_s0517,B_s0517,C_s0517
x0518,A_s0518,B_s0518,C_s0518
x0519,A_s0519,B_s0519,C_s0519
x0520,A_s0520,B_s0520,C_s0520
x0521,A_s0521,B_s0521,C_s0521
x0522,A_s0522,B_s0522,C_s0522
x0523,A_s0523,B_s0523,C_s0523
x0524,A_s0524,B_s0524,C_s0524
x0525,A_s0525,B_s0525,C_s0525
x0526,A_s0526,B_s0526,C_s0526
x0527,A_s0527,B_s0527,C_s0527
x0528,A_s0528,B_s0528,C_s0528
x0529,A_s0529,B_s0529,C_s0529
x0530,A_s0530,B_s0530,C_s0530
x0531,A_s0531,B_s0531,C_s0531
x0532,A_s0532,B_s0532,C_s0532
x0533,A_s0533,B_s0533,C_s0533
x0534,A_s0534,B_s0534,C_s0534
x0535,A_s0535,B_s0535,C_s0535
x0536,A_s0536,B_s0536,C_s0536
x0537,A_s0537,B_s0537,C_s0537
x0538,A_s0538,B_s0538,C_s0538
x0539,A_s0539,B_s0539,C_s0539
x0540,A_s0540,B_s0540,C_s0540
x0541,A_s0541,B_s0541,C_s0541
x0542,A_s0542,B_s0542,C_s0542
x0543,A_s0543,B_s0543,C_s0543
x0544,A_s0544,B_s0544,C_s0544
x0545,A_s0545,B_s0545,C_s0545
x0546,A_s0546,B_s0546,C_s0546
x0547,A_s0547,B_s0547,C_s0547
x0548,A_s0548,B_s0548,C_s0548
x0549,A_s0549,B_s0549,C_s0549
x0550,A_s0550,B_s0550,C_s0550
x0551,A_s0551,B_s0551,C_s0551
x0552,A_s0552,B_s0552,C_s0552
x0553,A_s0553,B_s0553,C_s0553
x0554,A_s0554,B_s0554,C_s0554
x0555,A_s0555,B_s0555,C_s0555
x0556,A_s0556,B_s0556,C_s0556
x0557,A_s0557,B_s0557,C_s0557
x0558,A_s0558,B_s0558,C_s0558
x0559,A_s0559,B_s0559,C_s0559
x0560,A_s0560,B_s0560,C_s0560
x0561,A_s0561,B_s0561,C_s0561
x0562,A_s0562,B_s0562,C_s0562
x0563,A_s0563,B_s0563,C_s0563
x0564,A_s0564,B_s0564,C_s0564
x0565,A_s0565,B_s0565,C_s0565
x0566,A_s0566,B_s0566,C_s0566
x0567,A_s0567,B_s0567,C_s0567
x0568,A_s0568,B_s0568,C_s0568
x0569,A_s0569,B_s0569,C_s0569
x0570,A_s0570,B_s0570,C_s0570
x0571,A_s0571,B_s0571,C_s0571
x0572,A_s0572,B_s0572,C_s0572
x0573,A_s0573,B_s0573,C_s0573
x0574,A_s0574,B_s0574,C_s0574
x0575,A_s0575,B_s0575,C_s0575
x0576,A_s0576,B_s0576,C_s0576
x0577,A_s0577,B_s0577,C_s0577
x0578,A_s0578,B_s0578,C_s0578
x0579,A_s0579,B_s0579,C_s0579
x0580,A_s0580,B_s0580,C_s0580
x0581,A_s0581,B_s0581,C_s0581
x0582,A_s0582,B_s0582,C_s0582
x0583,A_s0583,B_s0583,C_s0583
x0584,A_s0584,B_s0584,C_s0584
x0585,A_s0585,B_s0585,C_s0585
x0586,A_s0586,B_s0586,C_s0586
x0587,A_s0587,B_s0587,C_s0587
x0588,A_s0588,B_s0588,C_s0588
x0589,A_s0589,B_s0589,C_s0589
x0590,A_s0590,B_s0590,C_s0590
x0591,A_s0591,B_s0591,C_s0591
x0592,A_s0592,B_s0592,C_s0592
x0593,A_s0593,B_s0593,C_s0593
x0594,A_s0594,B_s0594,C_s0594
x0595,A_s0595,B_s0595,C_s0595
x0596,A_s0596,B_s0596,C_s0596
x0597,A_s0597,B_s0597,C_s0597
x0598,A_s0598,B_s0598,C_s0598
x0599,A_s0599,B_s0599,C_s0599
x0600,A_s0600,B_s0600,C_s0600
x0601,A_s0601,B_s0601,C_s0601
x0602,A_s0602,B_s0602,C_s0602
x0603,A_s0603,B_s0603,C_s0603
x0604,A_s0604,B_s0604,C_s0604
x0605,A_s0605,B_s0605,C_s0605
x0606,A_s0606,B_s0606,C_s0606
x0607,A_s0607,B_s0607,C_s0607
x0608,A_s0608,B_s0608,C_s0608
x0609,A_s0609,B_s0609,C_s0609
x0610,A_s0610,B_s0610,C_s0610
x0611,A_s0611,B_s0611,C_s0611
x0612,A_s0612,B_s0612,C_s0612
x0613,A_s0613,B_s0613,C_s0613
x0614,A_s0614,B_s0614,C_s0614
x0615,A_s0615,B_s0615,C_s0615
x0616,A_s0616,B_s0616,C_s0616
x0617,A_s0617,B_s0617,C_s0617
x0618,A_s0618,B_s0618,C_s0618
x0619,A_s0619,B_s0619,C_s0619
x0620,A_s0620,B_s0620,C_s0620
x0621,A_s0621,B_s0621,C_s0621
x0622,A_s0622,B_s0622,C_s0622
x0623,A_s0623,B_s0623,C_s0623
x0624,A_s0624,B_s0624,C_s0624
x0625,A_s0625,B_s0625,C_s0625
x0626,A_s0626,B_s0626,C_s0626
x0627,A_s0627,B_s0627,C_s0627
x0628,A_s0628,B_s0628,C_s0628
x0629,A_s0629,B_s0629,C_s0629
x0630,A_s0630,B_s0630,C_s0630
x0631,A_s0631,B_s0631,C_s0631
x0632,A_s0632,B_s0632,C_s0632
x0633,A_s0633,B_s0633,C_s0633
x0634,A_s0634,B_s0634,C_s0634
x0635,A_s0635,B_s0635,C_s0635
